20407-3	Qn	FHIR	N	HP:0031812	true	2018-04-30T09:55:19	HPO:probinson	NA	NA	0.1	true	NA
20407-3	Qn	FHIR	H	HP:0031812	false	2018-04-30T09:55:19	HPO:probinson	NA	NA	0.1	true	NA
32710-6	Ord	FHIR	POS	HP:0031812	false	2018-04-30T09:56:19	HPO:probinson	NA	NA	0.1	true	NA
32710-6	Ord	FHIR	NEG	HP:0031812	true	2018-04-30T09:56:19	HPO:probinson	NA	NA	0.1	true	NA
2657-5	Qn	FHIR	N	HP:0031812	true	2018-04-30T09:56:27	HPO:probinson	NA	NA	0.1	true	NA
2657-5	Qn	FHIR	H	HP:0031812	false	2018-04-30T09:56:27	HPO:probinson	NA	NA	0.1	true	NA
50558-6	Ord	FHIR	POS	HP:0031812	false	2018-04-30T09:56:44	HPO:probinson	NA	NA	0.1	true	NA
50558-6	Ord	FHIR	NEG	HP:0031812	true	2018-04-30T09:56:44	HPO:probinson	NA	NA	0.1	true	NA
5802-4	Ord	FHIR	POS	HP:0031812	false	2018-04-30T09:57:02	HPO:probinson	NA	NA	0.1	true	NA
5802-4	Ord	FHIR	NEG	HP:0031812	true	2018-04-30T09:57:02	HPO:probinson	NA	NA	0.1	true	NA
